"sub_category_id","category_id","sub_category_name","sub_category_slug","sub_category_img","sub_category_sort","sub_category_text","attribute_ids","sub_category_status","sub_category_created_by","sub_category_created_at","sub_category_updated_by","sub_category_updated_at"
"1","15","Shampoo and Conditioner","shampoo-and-conditioner",NULL,NULL,,,"enable","1","2022-03-23 23:42:30",NULL,"2022-03-23 23:42:30"
"2","15","Oils & Serums","oils-serums",NULL,NULL,,,"disable","1","2022-03-23 23:42:42","1","2022-06-11 09:17:06"
"3","15","Hair Treatments","hair-treatments",NULL,NULL,,"5,6,7,8","enable","1","2022-03-23 23:42:53","1","2023-03-23 09:07:02"
"4","15","Tools and Accessories","tools-and-accessories",NULL,NULL,,,"enable","1","2022-03-23 23:43:03",NULL,"2022-03-23 23:43:03"
"5","15","Styling","styling",NULL,NULL,,,"disable","1","2022-03-23 23:43:16","1","2023-07-05 07:28:11"
"6","15","Men's Grooming and Styling","mens-grooming-and-styling",NULL,NULL,,"5","enable","1","2022-03-23 23:43:24","1","2022-06-11 08:49:03"
"7","15","Hair Removal","hair-removal",NULL,NULL,,,"disable","1","2022-03-23 23:43:31","1","2022-08-04 10:36:23"
"8","27","Eyes","eyes",NULL,NULL,,"5,6,8","enable","1","2022-03-23 23:43:52","1","2022-09-09 13:40:32"
"9","27","Lips","lips",NULL,NULL,,"5,6,8","enable","1","2022-03-23 23:44:08","1","2022-09-09 13:40:24"
"10","27","Face","face",NULL,NULL,,,"enable","1","2022-03-23 23:44:20",NULL,"2022-03-23 23:44:20"
"11","14","Moisturizer","moisturizer","Moisturzer.jpg",NULL,,"5,6,7,8","enable","1","2022-03-23 23:44:48","1","2022-08-10 00:22:37"
"12","14","Cleansers","cleansers",NULL,NULL,,,"enable","1","2022-03-23 23:45:01",NULL,"2022-03-23 23:45:01"
"13","14","Facial Treatments","facial-treatments",NULL,NULL,,,"enable","1","2022-03-23 23:45:12",NULL,"2022-03-23 23:45:12"
"14","14","Face Masks","face-masks",NULL,NULL,,,"enable","1","2022-03-23 23:45:25",NULL,"2022-03-23 23:45:25"
"15","14","Tools","tools",NULL,NULL,,,"disable","1","2022-03-23 23:46:00","1","2022-06-24 10:14:38"
"16","14","Lips and Eye Care","lips-and-eye-care",NULL,NULL,,"5,6,7,8","enable","1","2022-03-23 23:46:10","1","2023-04-06 09:10:46"
