"sub_category_level_2_id","sub_category_id","sub_category_level_2_name","sub_category_level_2_slug","sub_category_level_2_text","attribute_ids","sub_category_level_2_status","sub_category_level_2_created_by","sub_category_level_2_created_at","sub_category_level_2_updated_by","sub_category_level_2_updated_at"
"1","80","Eyeliner","eyeliner","Eyeliner",NULL,"enable","1","2021-04-27 23:46:20","1","2021-04-27 23:46:20"
"2","108","Diaper Rash Creams","diaper-rash-creams",,NULL,"enable","1","2021-12-02 12:23:44",NULL,"2021-12-02 12:23:44"
"3","23","AHA BHA","aha-bha",,NULL,"enable","1","2022-03-23 23:48:58",NULL,"2022-03-23 23:48:58"
"4","23","Glutathione","glutathione",,NULL,"enable","1","2022-03-24 00:11:44",NULL,"2022-03-24 00:11:44"
"5","23","Glycolic Acid","glycolic-acid",,NULL,"enable","1","2022-03-24 00:11:59",NULL,"2022-03-24 00:11:59"
"6","23","Hyaluronic Acid","hyaluronic-acid",,NULL,"enable","1","2022-03-24 00:12:14",NULL,"2022-03-24 00:12:14"
"7","23","Niacinamide","niacinamide",,NULL,"enable","1","2022-03-24 00:12:24",NULL,"2022-03-24 00:12:24"
"8","23","Retinol","retinol",,NULL,"enable","1","2022-03-24 00:12:34",NULL,"2022-03-24 00:12:34"
"9","23","Salicylic Acid","salicylic-acid",,NULL,"enable","1","2022-03-24 00:12:43",NULL,"2022-03-24 00:12:43"
"10","23","Snail","snail",,NULL,"enable","1","2022-03-24 00:12:52",NULL,"2022-03-24 00:12:52"
"11","23","Tea Tree","tea-tree",,NULL,"enable","1","2022-03-24 00:13:00",NULL,"2022-03-24 00:13:00"
"12","23","Vitamin C","vitamin-c",,NULL,"enable","1","2022-03-24 00:13:10",NULL,"2022-03-24 00:13:10"
"13","12","Face Wash & Cleansers","face-wash-cleansers",,NULL,"enable","1","2022-03-24 00:13:35",NULL,"2022-03-24 00:13:35"
"14","12","Exfoliators & Peels","exfoliators-peels",,NULL,"enable","1","2022-03-24 00:13:44","1","2022-03-24 00:13:44"
"15","12","Cleansing Wipes & Pads","cleansing-wipes-pads",,NULL,"disable","1","2022-03-24 00:13:53",NULL,"2022-03-24 00:13:53"
"16","12","Toners & Essence","toners-essence",,NULL,"enable","1","2022-03-24 00:14:02",NULL,"2022-03-24 00:14:02"
"17","12","Makeup Remover","makeup-remover",,NULL,"enable","1","2022-03-24 00:14:12",NULL,"2022-03-24 00:14:12"
"18","12","Face Peels","face-peels",,NULL,"disable","1","2022-03-24 00:14:21","1","2022-03-24 00:14:21"
"19","12","Soaps & Bars","soaps-bars",,NULL,"enable","1","2022-03-24 00:14:30","1","2022-03-24 00:14:30"
"20","12","Cleansing Oil","cleansing-oil",,NULL,"enable","1","2022-03-24 00:14:41",NULL,"2022-03-24 00:14:41"
"21","35","Body Mists","body-mists",,NULL,"enable","1","2022-03-24 00:14:50","1","2022-03-24 00:14:50"
"22","8","Eyeliner & Pencils","eyeliner-pencils",,NULL,"enable","1","2022-03-24 00:15:07","1","2022-03-24 00:15:07"
"23","8","Mascara","mascara",,NULL,"enable","1","2022-03-24 00:15:24",NULL,"2022-03-24 00:15:24"
"24","8","Row Concealer","row-concealer",,NULL,"disable","1","2022-03-24 00:15:32","1","2022-03-24 00:15:32"
"25","8","Eye Pencil","eye-pencil",,NULL,"disable","1","2022-03-24 00:15:42","1","2022-03-24 00:15:42"
"26","8","Eye Primer","eye-primer",,NULL,"enable","1","2022-03-24 00:15:51",NULL,"2022-03-24 00:15:51"
"27","8","Eyeshadow","eyeshadow",,NULL,"enable","1","2022-03-24 00:16:00",NULL,"2022-03-24 00:16:00"
"28","8","Eyeshadow Glitter","eyeshadow-glitter",,NULL,"disable","1","2022-03-24 00:16:07","1","2022-03-24 00:16:07"
"29","8","Cream & Gel Eye Liner","cream-gel-eye-liner",,NULL,"disable","1","2022-03-24 00:16:17","1","2022-03-24 00:16:17"
"30","8","Liquid Eye Liner","liquid-eye-liner",,NULL,"disable","1","2022-03-24 00:16:26","1","2022-03-24 00:16:26"
"31","32","Nail Care","nail-care",,NULL,"enable","1","2022-03-24 00:16:35","1","2022-03-24 00:16:35"
"32","10","Bronzer","bronzer",,NULL,"disable","1","2022-03-24 00:17:01","1","2022-03-24 00:17:01"
"33","10","Primer","primer",,NULL,"enable","1","2022-03-24 00:17:09",NULL,"2022-03-24 00:17:09"
"34","10","Blushes","blushes",,NULL,"enable","1","2022-03-24 00:17:18","1","2022-03-24 00:17:18"
"35","10","Illuminator","illuminator",,NULL,"disable","1","2022-03-24 00:17:26","1","2022-03-24 00:17:26"
"36","10","Foundations","foundations",,NULL,"enable","1","2022-03-24 00:17:35",NULL,"2022-03-24 00:17:35"
"37","10","Setting Spray","setting-spray",,NULL,"enable","1","2022-03-24 00:17:44",NULL,"2022-03-24 00:17:44"
"38","10","Contouring","contouring",,NULL,"disable","1","2022-03-24 00:17:51","1","2022-03-24 00:17:51"
"39","10","Highlighters","highlighters",,NULL,"disable","1","2022-03-24 00:19:12","1","2022-03-24 00:19:12"
"40","10","Powder","powder",,NULL,"enable","1","2022-03-24 00:19:21",NULL,"2022-03-24 00:19:21"
"41","10","Concealers","concealers",,NULL,"enable","1","2022-03-24 00:19:30",NULL,"2022-03-24 00:19:30"
"42","10","Face Palette","face-palette",,NULL,"enable","1","2022-03-24 00:19:38",NULL,"2022-03-24 00:19:38"
"43","14","Clay Mask","clay-mask",,NULL,"enable","1","2022-03-24 00:20:11",NULL,"2022-03-24 00:20:11"
"44","14","Sheet Masks","sheet-masks",,NULL,"enable","1","2022-03-24 00:20:23",NULL,"2022-03-24 00:20:23"
"45","13","Serums","serums",,NULL,"enable","1","2022-03-24 00:20:40",NULL,"2022-03-24 00:20:40"
"46","13","Powders","powders",,NULL,"disable","1","2022-03-24 00:20:53","1","2022-03-24 00:20:53"
"47","13","Daily Face Oil","daily-face-oil",,NULL,"enable","1","2022-03-24 00:21:03",NULL,"2022-03-24 00:21:03"
"48","13","Night Routine","night-routine",,NULL,"enable","1","2022-03-24 00:21:11",NULL,"2022-03-24 00:21:11"
"49","20","Hand Sanitizer","hand-sanitizer",,NULL,"enable","1","2022-03-24 00:21:42","1","2022-03-24 00:21:42"
"50","9","Lip Gloss","lip-gloss",,NULL,"enable","1","2022-03-24 00:22:00",NULL,"2022-03-24 00:22:00"
"51","9","Lipsticks","lipsticks",,NULL,"enable","1","2022-03-24 00:22:11","1","2022-03-24 00:22:11"
"52","10","Cheek","cheek",,NULL,"disable","1","2022-03-24 00:22:20","1","2022-03-24 00:22:20"
"53","16","Lip Balm","lip-balm",,NULL,"enable","1","2022-03-24 00:22:59","1","2022-03-24 00:22:59"
"55","9","Lip Plumper","lip-plumper",,NULL,"enable","1","2022-03-24 00:23:08",NULL,"2022-03-24 00:23:08"
"56","9","Lip Pencils","lip-pencils",,NULL,"enable","1","2022-03-24 00:23:23",NULL,"2022-03-24 00:23:23"
"57","9","Teeth","teeth",,NULL,"disable","1","2022-03-24 00:23:33","1","2022-03-24 00:23:33"
"58","16","Lip Cream","lip-cream",,NULL,"enable","1","2022-03-24 00:23:41","1","2022-03-24 00:23:41"
"59","11","Daily Moisturizer","daily-moisturizer",,NULL,"enable","1","2022-03-24 00:24:20","1","2022-03-24 00:24:20"
"60","11","Night Moisturizer","night-moisturizer",,NULL,"enable","1","2022-03-24 00:24:28","1","2022-03-24 00:24:28"
"61","11","Face Mist & Sprays","face-mist-sprays",,NULL,"enable","1","2022-03-24 00:24:36","1","2022-03-24 00:24:36"
"62","11","Balm & Gels","balm-gels",,NULL,"enable","1","2022-03-24 00:24:44",NULL,"2022-03-24 00:24:44"
"63","21","Acne & Blimishes","acne-blimishes",,NULL,"enable","1","2022-03-24 00:26:59",NULL,"2022-03-24 00:26:59"
"64","21","Anti Ageing","anti-ageing",,NULL,"enable","1","2022-03-24 00:27:08",NULL,"2022-03-24 00:27:08"
"65","21","Dark Spots and Scars","dark-spots-and-scars",,NULL,"enable","1","2022-03-24 00:27:17","1","2022-03-24 00:27:17"
"66","21","Blackheads Whiteheads","blackheads-whiteheads",,NULL,"enable","1","2022-03-24 00:27:26",NULL,"2022-03-24 00:27:26"
"67","21","Dark Circles","dark-circles",,NULL,"enable","1","2022-03-24 00:27:35",NULL,"2022-03-24 00:27:35"
"68","21","Dehydrated Skin","dehydrated-skin",,NULL,"disable","1","2022-03-24 00:27:48","1","2022-03-24 00:27:48"
"69","21","Dry Skin","dry-skin",,NULL,"disable","1","2022-03-24 00:28:08","1","2022-03-24 00:28:08"
"70","21","Oily Skin","oily-skin",,NULL,"disable","1","2022-03-24 00:28:19","1","2022-03-24 00:28:19"
"71","21","Open Pores","open-pores",,NULL,"enable","1","2022-03-24 00:28:32",NULL,"2022-03-24 00:28:32"
